Long Short-Term Memory (LSTM),長短期記憶
Gated Recurrent Unit (GRU),ゲート付き回帰型ユニット
Generative Adversarial Network (GAN),敵対的生成ネットワーク
Autoencoder,オートエンコーダ / 自己符号化器
Multilayer Perceptron (MLP),多層パーセプトロン
Graph Neural Network (GNN),グラフニューラルネットワーク
Spiking Neural Network (SNN),スパイキングニューラルネットワーク
Sparse Neural Network,疎なニューラルネットワーク
Dense Neural Network,密なニューラルネットワーク
Dropout,ドロップアウト
Activation Function,活性化関数
Rectified Linear Unit (ReLU),正規化線形関数 / ReLU
Sigmoid Function,シグモイド関数
Softmax Function,ソフトマックス関数
Batch Normalization,バッチ正規化
Forward Pass,順伝播
Backward Pass,逆伝播
Backpropagation,誤差逆伝播法
Backpropagation Through Time (BPTT),通時的誤差逆伝播法
Optimizer,最適化アルゴリズム / オプティマイザ
Stochastic Gradient Descent (SGD),確率的勾配降下法
Learning Rate,学習率
Learning Rate Decay,学習率の減衰
Warmup,ウォームアップ
Weight Decay,荷重減衰 / ウェイトディケイ
Gradient Clipping,勾配クリッピング
Hyperparameter,ハイパーパラメータ
Grid Search,グリッドサーチ
Random Search,ランダムサーチ
Cross Validation,交差検証
K-Fold Cross Validation,K分割交差検証
Early Stopping,早期終了 / アーリーストッピング
Transfer Learning,転移学習
Zero-shot Learning,ゼロショット学習
Few-shot Learning,フューショット学習
Data Mining,データマイニング
Data Pipeline,データパイプライン
"Extract, Transform, Load (ETL)",ETL (抽出・変換・書き出し)
Feature Engineering,特徴量エンジニアリング
Feature Extraction,特徴抽出
Feature Selection,特徴選択
Dimensionality Reduction,次元削減
Imputation,欠損値補完
Normalization,正規化
Standardization,標準化
Min-Max Scaling,最小最大スケーリング
One-Hot Encoding,ワンホットエンコーディング
Label Encoding,ラベルエンコーディング
Data Leakage,データリーク / データ漏洩
Concept Drift,コンセプトドリフト
Data Drift,データドリフト
A/B Testing,A/Bテスト
Baseline,ベースライン
Ground Truth,グラウンドトゥルース / 正解データ
Inductive Bias,帰納的バイアス
Natural Language Processing (NLP),自然言語処理
Natural Language Understanding (NLU),自然言語理解
Natural Language Generation (NLG),自然言語生成
Speech Recognition,音声認識
Text-to-Speech (TTS),音声合成
Machine Translation,機械翻訳
Named Entity Recognition (NER),固有表現抽出
Part-of-Speech Tagging,品詞タギング
Sentiment Analysis,感情分析
Topic Modeling,トピックモデリング
Word Embedding,単語埋め込み
Bag of Words (BoW),Bag of Words
TF-IDF,TF-IDF
N-gram,Nグラム
Word2Vec,Word2Vec
GloVe,GloVe
FastText,FastText
Continuous Bag of Words (CBOW),CBOW
Skip-Gram,スキップグラム
Negative Sampling,ネガティブサンプリング
Subword,サブワード / 部分語
Out-of-Vocabulary (OOV),語彙外
SentencePiece,SentencePiece
WordPiece,WordPiece
Perplexity,パープレキシティ
Bleu Score,BLEUスコア
ROUGE Score,ROUGEスコア
Prompt Engineering,プロンプトエンジニアリング
Chain of Thought (CoT),思考の連鎖
Retrieval-Augmented Generation (RAG),検索拡張生成
Instruction Tuning,インストラクション・チューニング
Reinforcement Learning from Human Feedback (RLHF),人間からのフィードバックを用いた強化学習
Direct Preference Optimization (DPO),直接選好最適化
Vector Database,ベクトルデータベース
Semantic Search,セマンティック検索
Foundation Model,基盤モデル
Multimodal AI,マルチモーダルAI
Vision-Language Model (VLM),視覚言語モデル
Mixture of Experts (MoE),専門家混合モデル
Context Window,コンテキストウィンドウ
Temperature,温度パラメータ
Top-k Sampling,Top-kサンプリング
Top-p Sampling (Nucleus Sampling),Top-pサンプリング
Repetition Penalty,繰り返しペナルティ
Stop Sequence,ストップシーケンス / 停止文字列
System Prompt,システムプロンプト
Prompt Injection,プロンプトインジェクション
Jailbreak,ジェイルブレイク
Red Teaming,レッドチーム演習
Pre-training,事前学習
Post-training,事後学習
Supervised Fine-Tuning (SFT),教師ありファインチューニング
Parameter-Efficient Fine-Tuning (PEFT),パラメータ効率化ファインチューニング
Low-Rank Adaptation (LoRA),LoRA
Quantized LoRA (QLoRA),QLoRA
Prompt Tuning,プロンプトチューニング
Prefix Tuning,プレフィックスチューニング
Emergent Ability,創発的能力
Scaling Law,スケーリング則
Optical Character Recognition (OCR),光学文字認識
Image Generation,画像生成
Super Resolution,超解像
Style Transfer,画風変換 / スタイルトランスファー
Non-Maximum Suppression (NMS),非最大値抑制
Anchor Box,アンカーボックス
Receptive Field,受容野
Upsampling,アップサンプリング
Downsampling,ダウンサンプリング
Latent Space,潜在空間
Diffusion Model,拡散モデル
Contrastive Language-Image Pre-training (CLIP),CLIP
Q-Learning,Q学習
Markov Decision Process (MDP),マルコフ決定過程
Actor-Critic,アクター・クリティック
Deep Q-Network (DQN),深層Qネットワーク
Replay Buffer,リプレイバッファ
Target Network,ターゲットネットワーク
Discount Factor,割引率
Markov Property,マルコフ性
Bellman Equation,ベルマン方程式
Value Iteration,価値反復法
Policy Iteration,方策反復法
Monte Carlo Method,モンテカルロ法
Temporal Difference Learning (TD Learning),TD学習 / 時間的差分学習
Multi-Armed Bandit,多腕バンディット問題
Inference,推論
Latency,レイテンシ / 遅延
Throughput,スループット
Hardware Accelerator,ハードウェアアクセラレータ
Graphics Processing Unit (GPU),画像処理装置 / GPU
Tensor Processing Unit (TPU),テンソル処理装置 / TPU
FLOPS,フロップス / 浮動小数点演算性能
Quantization,量子化
Pruning,プルーニング / 枝刈り
Knowledge Distillation,知識蒸留
Model Compression,モデル圧縮
Federated Learning,連合学習 / フェデレーテッド・ラーニング
Edge AI,エッジAI
On-Device AI,オンデバイスAI
Heuristic,ヒューリスティック
Genetic Algorithm (GA),遺伝的アルゴリズム
Knowledge Graph,ナレッジグラフ
Expert System,エキスパートシステム
Turing Test,チューリングテスト
Artificial General Intelligence (AGI),汎用人工知能
Artificial Superintelligence (ASI),人工超知能
Singularity,シンギュラリティ / 技術的特異点
Alignment,アライメント (価値観の整合)
Explainable AI (XAI),説明可能なAI
Fairness,公平性
Adversarial Attack,敵対的攻撃
Data Poisoning,データポイズニング
English,Japanese
Transformer,トランスフォーマー
Attention Mechanism,アテンション機構 / 注意機構
Self-Attention,自己アテンション / セルフアテンション
Multi-Head Attention,マルチヘッド・アテンション
Scaled Dot-Product Attention,スケール化ドット積アテンション
Masked Multi-Head Attention,マスク化マルチヘッド・アテンション
Cross-Attention,クロスアテンション / 交差アテンション
Encoder-Decoder Attention,エンコーダ・デコーダ・アテンション
Sparse Attention,スパース・アテンション
Sliding Window Attention,スライディングウィンドウ・アテンション
FlashAttention,FlashAttention
Query (Q),クエリ
Key (K),キー
Value (V),バリュー
Attention Score,アテンション・スコア
Attention Weight,アテンションの重み
Attention Matrix,アテンション行列
Dot Product,ドット積 / 内積
Scaling Factor,スケーリング係数
Encoder,エンコーダ
Decoder,デコーダ
Encoder Block,エンコーダ・ブロック
Decoder Block,デコーダ・ブロック
Positional Encoding,位置エンコーディング
Position Embedding,位置埋め込み
Absolute Positional Encoding,絶対位置エンコーディング
Relative Positional Encoding,相対位置エンコーディング
Rotary Position Embedding (RoPE),RoPE / 回転位置埋め込み
Residual Connection,残差接続
Skip Connection,スキップ接続
Layer Normalization (LayerNorm),層正規化 / レイヤー正規化
RMSNorm,RMSNorm
Position-wise Feed-Forward Network (FFN),位置単位フィードフォワード・ネットワーク
Linear Projection,線形射影
Masking,マスキング
Causal Mask,因果マスク / 自己回帰マスク
Padding Mask,パディング・マスク
Look-Ahead Mask,先読みマスク
Model Dimension (d_model),モデルの次元数
Hidden Dimension,隠れ層の次元数
Number of Heads,ヘッド数
Number of Layers,レイヤー数 / 階層数
Sequence Length,系列長
Context Length,コンテキスト長
Vision Transformer (ViT),ビジョン・トランスフォーマー
Bidirectional Encoder Representations from Transformers (BERT),BERT
Generative Pre-trained Transformer (GPT),GPT
Sequence-to-Sequence (Seq2Seq),系列変換モデル / Seq2Seq
Autoregressive Generation,自己回帰生成

